İŞİN ADI ;YERİ;AÇIKLAMA
DOĞALGAZ TESİSATI;ANKARA / ÇANKAYA / BEYSUKENT;BAGELİ MANYAK VE ETMANYAK KOMPLE DOĞALGAZ TESİSATI
DOĞALGAZ TESİSATI;ANKARA / ÇANKAYA / BEYTEPE;CUMHURBAŞKANLIĞI DOĞALGAZ TESİSATI REVİZYONU 
DOĞALGAZ TESİSATI;İÇ ANADOLU;TÜM KFC VE PİZZA HUT DOĞALGAZ TESİSATLARI İMALATLARI
DOĞALGAZ TESİSATI;ANKARA / GÖLBAŞI / KARAGEDİK;TÜRKSAT HABERLEŞME A.Ş. KAZAN DAİRESİ DOĞALGAZ TESİSATI
DOĞALGAZ TESİSATI;ANKARA / TEMELLİ ;ANKA WALL PROSES ÖZEL DOĞALGAZ İMALATI KOMPLE
DOĞALGAZ TESİSATI;ANKARA / AKYURT;MAN FABRİKA BOYA FIRINI DOĞALGAZ İÇ TESİSATI İŞLERİ
DOĞALGAZ TESİSATI;ANKARA / GÖLBAŞI;ÇAĞMAZ İNŞAAT APART OFİSLER VE APART KOMPLE DOĞALGAZ TESİSATI
DOĞALGAZ TESİSATI;ANKARA / ÇANKAYA;ANKA REZERVE DOĞALGAZ KAZAN DAİRESİ VE KOLON TESİSATI
DOĞALGAZ TESİSATI;ANKARA / GÖLBAŞI;PALTO YAPI 12 DAİRE DOĞALGAZ İÇ TESİSAT VE KOLON TESİSATI
DOĞALGAZ TESİSATI;ANKARA / ÇANKAYA;KİTA MU RESTAURANT KOMPLE DOĞALGAZ KOLON VE İÇ TESİSATI
HAVALANDIRMA TESİSATI;ANKARA / TEMELLİ ;MATEKS MAKİNA DÖKÜMHANE EMİŞ SİSTEMLERİ KURULUMU
KAZAN DAİRESİ DÖNÜŞÜM;ANKARA / ÇANKAYA /BİRLİK MAH.;75. YIL APARTMANI KAZAN DAİRESİ DÖNÜŞÜM İŞİ
KAZAN DAİRESİ DÖNÜŞÜM;ANKARA / ÇANKAYA /ÜVEZLER;KALIPÇI APARTMANI KAZAN DAİRESİ DÖNÜŞÜM İŞİ 
KAZAN DAİRESİ DÖNÜŞÜM;ANKARA / ÇANKAYA / DİKMEN;PEMBE KÖŞK APARTMANI KAZAN DAİRESİ DÖNÜŞÜM İŞİ
KAZAN DAİRESİ DÖNÜŞÜM;ANKARA  / ETMESGUT / ERYAMAN;ADRESS ERYAMAN PROJESİ KAZAN DAİRESİ DÖNÜŞÜM İŞİ
KAZAN DAİRESİ DÖNÜŞÜM;ANKARA / ÇANKAYA / ESAT;ÇAMLICA APARTMANI KAZAN DAİRESİ DÖNÜŞÜM İŞİ
